session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054dd100174e874e15288ed,5fc838109e99f3178d83db35,RETURNED,2021-03-19 17:19:19.255000,,880077.688211,54,304,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6054df630e06b1aea6bb3393,601490dc665c424f278e6c3c,APPROVED,2021-03-19 17:29:13.639000,2021-03-19 17:33:23.061000,249.422,58,122,3,95,2021-03-21 03:34:53.080000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No,Republican
6054df68c48479e53aad00d2,603c54e5f13069821f638c92,APPROVED,2021-03-19 17:29:15.466000,2021-03-19 17:31:45.846000,150.38,25,96,0,100,2021-03-21 03:34:54.359000,726F3960,Donald Trump,United States,United States,Part-Time,,United States,Male,No,Independent
6054df933788a24a4fd1b6af,6007b5de4508d81c9a2a0433,APPROVED,2021-03-19 17:30:16.987000,2021-03-19 17:33:12.204000,175.217,39,75,0,100,2021-03-21 03:34:55.740000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No,Independent
6054dff0c33612e43caaee23,5fd511f86ef5c530eb69550c,APPROVED,2021-03-19 17:31:31.882000,2021-03-19 17:32:42.245000,70.363,19,294,1,100,2021-03-21 03:34:56.954000,726F3960,Donald Trump,United States,United States,Part-Time,DATA EXPIRED,United States,Male,Yes,Republican
6054dff2d7110d8fb5197979,5ffc8c02544fc20e1a619e2f,APPROVED,2021-03-19 17:31:33.262000,2021-03-19 17:32:18.319000,45.057,19,163,0,100,2021-03-21 03:34:58.665000,726F3960,Donald Trump,Korea,United States,Unemployed (and job seeking),,United States,Male,Yes,Republican
6054e035b4b376d4e8529502,5f60700464a41700087c665d,APPROVED,2021-03-19 17:32:42.722000,2021-03-19 17:33:54.724000,72.002,29,270,1,100,2021-03-21 03:34:59.931000,726F3960,Donald Trump,United States,United States,Full-Time,DATA EXPIRED,United States,Male,Yes,Independent
6054e07a2132ada368239138,57d6b1718e00270001b430cc,APPROVED,2021-03-19 17:33:48.421000,2021-03-19 17:37:13.836000,205.415,36,307,0,100,2021-03-21 03:35:01.634000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,Yes,Independent
6054e14f0e65a07f846a4e8b,5c7d88ba719aaf00019fff48,APPROVED,2021-03-19 17:37:21.651000,2021-03-19 17:40:28.246000,186.595,46,953,2,100,2021-03-21 03:35:03.523000,726F3960,Donald Trump,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No,Republican
6054e1588643eab7f38df396,5d37de63b78497001ad6b44b,APPROVED,2021-03-19 17:37:31.859000,2021-03-19 17:38:42.420000,70.561,43,1086,1,100,2021-03-21 03:35:07.501000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054e17dcc232dc9c709ec4b,603a6f1cfbf463653193fe6f,APPROVED,2021-03-19 17:38:11.813000,2021-03-19 17:40:26.932000,135.119,23,100,0,100,2021-03-21 03:35:11.654000,726F3960,Donald Trump,Korea,United States,Full-Time,,United States,Male,Yes,Independent
6054e1cea549748cb93dc9be,5dd2f17497405430c82c3ab6,APPROVED,2021-03-19 17:39:33.600000,2021-03-19 17:42:03.118000,149.518,59,655,2,100,2021-03-21 03:35:12.843000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,No,Republican
6054e257bdad2816e46bf672,5cb786cad415ff0017405fb0,APPROVED,2021-03-19 17:41:46.377000,2021-03-19 17:43:24.820000,98.443,66,584,10,96,2021-03-21 03:35:15.768000,NOCODE,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Independent
6054e2700ea38bb5ec009c81,5a9493ce873cda0001dc6dfb,APPROVED,2021-03-19 17:42:19.005000,2021-03-19 17:44:26.923000,127.918,30,1180,4,100,2021-03-21 03:35:18.400000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054e30c1fc8a8c8ccd80726,5ef865fa1fb3f55b2f7f3f74,APPROVED,2021-03-19 17:44:47.430000,2021-03-19 17:46:20.436000,93.006,23,223,2,99,2021-03-21 03:35:22.550000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Democrat
